Student_ID,Age,Gender,Branch,Year_of_Study,Commute_Mode,Commute_Time_mins,Attendance_Percentage,Study_Hours_per_Day,Social_Media_Hours_per_Day,Sleep_Hours_per_Night,Part_Time_Job,Extracurricular_Activities,Peer_Learning,Mentorship_Available,Financial_Status,Previous_Semester_SGPA,Stress_Level,Number_of_KTs,Has_KT,Cleared_in_First_Attempt
MU00001,24,Male,Information Technology,Second Year,Local Train,85,67,3.7,2.6,4.8,No,Yes,Yes,No,Middle Class,6.79,High,4,Yes,No
MU00002,21,Female,Information Technology,Final Year,Local Train,92,100,1.7,3.8,7.1,No,Yes,Yes,No,Lower Middle Class,5.76,Low,0,No,Yes
MU00003,19,Female,Electronics & Telecom (EXTC),Second Year,Two-Wheeler,50,40,3.4,3.2,7.1,Yes,No,No,Yes,Middle Class,4.73,High,3,Yes,No
MU00004,22,Female,Mechanical Engineering,Second Year,Local Train,88,85,3.9,3.5,6.9,No,No,Yes,Yes,Middle Class,6.15,Low,0,No,Yes
MU00005,23,Male,Electronics & Telecom (EXTC),Final Year,Local Train,83,64,2.6,3.7,7.3,Yes,No,No,No,Middle Class,3.89,High,4,Yes,No
MU00006,20,Male,Computer Engineering,First Year,Bus,47,64,2.3,4.0,5.7,No,No,Yes,Yes,Upper Middle Class,6.0,Medium,2,Yes,No
MU00007,20,Male,Civil Engineering,Second Year,Bus,78,63,3.0,2.4,5.8,No,No,Yes,No,Upper Middle Class,5.82,Low,0,No,Yes
MU00008,20,Female,Artificial Intelligence & Data Science,Third Year,Local Train,91,65,3.2,2.1,7.6,No,Yes,No,No,Wealthy,4.3,Low,1,Yes,No
MU00009,24,Female,Information Technology,Final Year,Local Train,121,83,3.1,3.8,3.3,Yes,Yes,No,Yes,Middle Class,4.74,Low,1,Yes,No
MU00010,23,Female,Computer Engineering,Final Year,Local Train,72,60,3.4,0.5,6.5,No,No,Yes,No,Middle Class,7.1,Low,0,No,Yes
MU00011,18,Male,Electronics & Telecom (EXTC),First Year,Local Train,60,70,2.9,2.5,6.6,No,Yes,Yes,No,Middle Class,5.66,Medium,2,Yes,No
MU00012,23,Female,Civil Engineering,Third Year,Local Train,123,86,3.6,3.8,4.5,No,Yes,Yes,Yes,Middle Class,5.73,Low,1,Yes,No
MU00013,18,Female,Mechanical Engineering,Third Year,Walking,10,38,4.0,2.6,6.0,No,Yes,Yes,No,Upper Middle Class,4.57,Low,1,Yes,No
